IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
192.9.157.76,192.9.157.76,443,12.49,US,SJC,68.96,76.36
43.169.18.179,43.152.135.77,443,12.24,US,IAD,2.32,12.85
172.174.11.248,172.190.157.189,443,11.89,US,IAD,4.45,7.31
185.204.54.203,185.204.54.203,443,11.78,US,EWR,24.62,42.64
96.8.121.29,96.8.121.29,443,11.76,US,SEA,80.6,121.9
185.28.175.51,185.28.175.51,443,11.75,US,MIA,29.06,76.52
38.95.122.228,38.95.122.228,443,11.62,US,LAX,75.08,100.76
136.117.27.103,136.117.27.103,443,11.57,US,SEA,77.01,118.12
216.167.68.73,216.167.68.73,443,11.56,US,LAX,61.78,69.53
155.94.173.121,155.94.173.121,443,11.05,US,DFW,35.25,45.86
159.89.91.17,159.89.91.17,443,10.89,US,EWR,8.54,13.68
104.129.166.131,20.127.239.249,8443,10.88,US,IAD,2.12,8.48
38.207.169.105,38.207.169.105,443,9.92,US,LAX,68.85,78.45
159.60.146.82,84.54.62.92,443,9.9,US,IAD,3.69,13.6
74.48.134.194,74.48.134.194,443,9.89,US,LAX,65.0,80.16
198.52.244.111,198.52.244.111,443,9.77,US,LAX,65.25,72.9
104.129.166.131,20.127.239.249,2096,9.73,US,IAD,23.35,30.85
185.197.30.6,185.197.30.6,443,9.7,US,LAX,61.64,95.96
104.129.166.131,20.127.239.249,2083,9.43,US,IAD,11.58,11.39
38.84.200.129,38.84.200.129,443,9.41,US,LAX,70.5,82.57
107.175.232.43,107.175.232.43,443,9.04,US,LAX,73.11,146.59
107.172.241.7,107.172.241.7,443,9.04,US,LAX,67.38,100.15
208.167.245.42,208.167.245.42,443,8.92,US,EWR,13.77,17.24
43.169.19.179,43.152.135.77,443,8.09,US,IAD,4.84,6.27
38.244.25.17,38.244.25.17,443,8.03,US,LAX,62.11,89.36
156.154.245.83,156.154.213.195,443,7.86,US,IAD,1.73,10.41
172.245.182.112,172.245.182.112,443,7.85,US,ATL,14.95,22.17
154.211.8.155,20.127.239.249,2083,7.83,US,IAD,5.49,19.06
107.175.245.116,107.175.245.116,2053,7.57,US,IAD,3.3,25.8
192.204.41.127,192.204.41.127,443,7.33,US,LAX,63.62,67.52
43.162.119.244,43.162.119.244,443,7.22,US,SJC,69.21,92.69
104.129.166.131,20.127.239.249,443,7.2,US,IAD,4.6,25.68
70.39.196.71,70.39.196.71,443,7.12,US,LAX,65.03,104.13
104.234.50.50,104.234.50.50,443,6.89,US,IAD,6.14,29.99
4.155.83.212,4.155.83.212,443,6.73,US,SEA,77.33,114.94
159.60.146.81,84.54.62.38,443,6.37,US,IAD,1.65,8.8
104.129.167.255,20.127.239.249,2083,6.36,US,IAD,3.32,10.54
104.129.166.131,20.127.239.249,2087,6.33,US,IAD,4.53,16.32
129.213.150.222,129.213.150.222,443,6.3,US,IAD,4.81,12.5
146.190.56.83,146.190.56.83,443,6.28,US,SJC,77.33,146.33
185.106.95.125,185.106.95.125,443,6.25,US,DFW,52.56,67.08
129.146.137.214,2603:c020:14:b39f:73e4:5573:620c:f17c,443,6.14,US,LAX,67.2,90.19
129.159.34.196,2603:c024:c005:ec5f:0:e477:e6f:c726,443,5.94,US,SJC,74.14,79.95
173.249.207.151,173.249.207.151,443,5.81,US,SJC,78.18,81.07
72.13.122.137,199.38.148.63,443,5.8,US,IAD,3.58,7.84
143.47.96.200,143.47.96.200,443,5.8,US,IAD,2.33,18.84
143.20.143.58,143.20.143.58,443,5.8,US,IAH,42.02,58.26
154.64.235.71,154.64.235.71,443,5.76,US,LAX,60.88,71.03
38.179.84.23,38.179.84.23,443,5.73,US,PHX,70.63,77.41
45.158.127.48,45.158.127.48,443,5.58,US,LAX,56.63,74.34
64.181.227.82,64.181.227.82,443,5.58,US,SJC,76.87,81.92
104.129.167.255,20.127.239.249,2087,5.49,US,IAD,5.86,28.52
154.211.8.155,20.127.239.249,443,5.45,US,IAD,6.77,9.72
192.210.136.10,192.210.136.10,443,5.44,US,SJC,70.37,125.4
51.81.223.184,51.81.223.184,443,5.44,US,PDX,88.96,107.99
148.135.119.123,148.135.119.123,443,5.41,US,LAX,75.95,72.75
67.230.183.207,67.230.183.207,443,5.4,US,LAX,60.81,70.97
107.175.245.116,107.175.245.116,8443,5.36,US,IAD,5.16,34.64
104.129.167.255,20.127.239.249,8443,5.32,US,IAD,16.48,23.53
107.174.67.116,107.174.67.116,443,5.26,US,YYZ,18.21,100.25
150.136.139.228,150.136.139.228,443,5.23,US,EWR,2.82,22.93
107.174.242.250,107.174.242.250,443,5.21,US,SEA,75.4,89.4
107.172.190.151,107.172.190.151,443,5.18,US,BUF,36.85,54.38
23.95.18.184,23.95.18.184,443,4.97,US,SEA,77.92,112.42
140.99.254.179,140.99.254.179,443,4.93,US,IAD,2.06,12.94
104.129.59.249,104.129.59.249,443,4.89,US,LAX,63.76,85.62
69.63.213.250,69.63.213.250,443,4.69,US,LAX,62.68,76.06
192.119.83.187,192.119.83.187,443,4.66,US,LAX,69.78,72.45
154.211.8.155,20.127.239.249,2087,4.57,US,IAD,3.87,15.73
104.168.88.177,104.168.88.177,443,4.56,US,SJC,70.05,85.44
107.172.79.112,107.172.79.112,443,4.52,US,SJC,66.96,91.78
67.216.195.167,67.216.195.167,443,4.5,US,LAX,69.19,128.04
185.204.54.233,185.204.54.233,443,4.44,US,EWR,16.8,52.13
27.50.48.73,20.127.239.249,2053,4.44,US,IAD,8.03,16.31
172.67.208.171,20.127.239.249,2096,4.39,US,IAD,10.03,30.8
31.172.69.16,31.172.69.16,443,4.33,US,DFW,52.64,43.19
154.64.235.152,154.64.235.152,443,4.32,US,LAX,62.14,69.84
172.67.208.171,20.127.239.249,443,4.31,US,IAD,52.19,21.09
149.28.92.56,149.28.92.56,443,4.3,US,LAX,61.31,69.31
38.95.121.84,38.95.121.84,443,4.25,US,LAX,64.4,73.81
165.232.148.158,165.232.148.158,443,4.24,US,SJC,72.7,79.61
104.223.54.68,104.223.54.68,443,4.17,US,LAX,65.3,84.79
192.210.133.140,192.210.133.140,443,4.11,US,YYZ,22.99,90.04
192.3.170.20,192.3.170.20,443,3.88,US,LAX,71.49,78.97
38.75.221.42,38.75.221.42,443,3.84,US,LAX,62.4,72.67
23.95.215.195,23.95.215.195,443,3.7,US,SJC,71.31,88.51
154.211.8.155,20.127.239.249,2053,3.55,US,IAD,3.53,8.07
206.223.84.247,206.223.84.247,443,3.55,US,LAX,70.22,78.94
192.3.1.218,192.3.1.218,443,3.54,US,BUF,24.88,75.37
23.142.200.32,23.142.200.32,443,3.5,US,SLC,52.57,73.7
129.159.37.136,2603:c024:c00d:b366:2fa3:6c2c:5a4d:4067,443,3.48,US,SJC,72.58,77.45
104.168.87.130,104.168.87.130,443,3.47,US,SJC,70.97,94.9
154.64.235.210,154.64.235.210,443,3.46,US,LAX,60.47,88.61
23.94.59.201,23.94.59.201,443,3.42,US,SEA,75.49,111.93
168.151.20.157,2602:f988:210:c4f::7f4,443,3.38,US,LAX,62.19,74.79
23.95.130.10,23.95.130.10,443,3.37,US,YYZ,21.06,91.01
213.170.157.1,185.71.228.0,443,3.35,US,PDX,86.55,249.39
169.197.94.149,169.197.94.149,443,3.28,US,EWR,9.09,31.4
38.75.221.32,38.75.221.32,443,3.28,US,LAX,61.27,69.69
165.232.51.34,165.232.51.34,443,3.26,US,SJC,74.19,81.7
64.181.218.67,64.181.218.67,443,3.21,US,ORD,21.75,28.61
192.18.136.255,2603:c024:c00e:6588:2813:e25c:5935:82e1,443,3.17,US,SJC,72.88,80.61
104.129.167.255,20.127.239.249,2096,3.17,US,IAD,3.34,31.59
23.94.208.112,23.94.208.112,443,3.14,US,SJC,73.05,107.35
27.50.48.73,20.127.239.249,443,3.13,US,IAD,7.9,23.18
192.3.251.89,192.3.251.89,443,3.07,US,SEA,76.01,114.64
38.75.221.242,38.75.221.242,443,3.04,US,LAX,60.5,68.27
154.64.235.208,154.64.235.208,443,3.01,US,LAX,62.58,76.63
154.211.8.155,20.127.239.249,2096,2.97,US,IAD,5.46,13.29
154.64.235.156,154.64.235.156,443,2.97,US,LAX,64.72,72.85
185.45.195.83,185.45.195.83,443,2.97,US,LAX,61.27,68.84
163.192.47.170,163.192.47.170,443,2.96,US,SJC,70.15,75.45
192.193.104.25,192.193.104.22,443,2.95,US,DFW,39.18,71.56
