IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
194.48.250.224,2a12:bec4:1480:1a5::2,2053,6.58,DE,FRA,94.1,105.93
37.120.191.25,37.120.191.25,8443,6.36,DE,FRA,102.62,132.22
152.53.228.252,152.53.228.252,443,6.14,DE,FRA,94.69,151.89
87.120.166.14,87.120.166.14,443,6.04,DE,FRA,106.16,125.22
193.26.157.56,193.26.157.56,8443,5.89,DE,HAM,101.83,129.02
94.16.113.129,94.16.113.129,8443,5.88,DE,HAM,105.91,150.39
78.47.146.151,78.47.146.151,443,5.87,DE,CDG,100.73,136.66
195.133.94.9,195.133.94.9,443,5.84,DE,FRA,99.2,118.17
94.159.111.159,94.159.111.159,2053,5.83,DE,FRA,94.89,143.04
146.19.207.133,146.19.207.133,443,5.81,DE,FRA,96.58,109.01
